image,date_read,author,title,publisher,edition_year,isbn13,isbn10,isbn_status,source_image
034.jpg,2024-06-20,Pepe Escobar,Eurasia v. NATOstan,,,,,pending,18032023058097508.jpg
035.jpg,2024-06-03,Martin Heidegger,Logic as the Question Concerning the Essence of Language,State University of New York Press,2009,9781438426747,1438426747,verified-paperback,18047598907739971.jpg
036.jpg,2024-05-30,Gustave Flaubert,Madame Bovary,Penguin Classics,2003,9780140449129,0140449124,probable-paperback,18025220678157870.jpg
037.jpg,2024-05-28,Euripides,Iphigenia at Aulis,,,,,edition-needs-cover-check,18047206999690990.jpg
038.jpg,2024-05-22,Thomas Mann,The Coming Victory of Democracy,Alfred A. Knopf,1938,,,pre-isbn,18149443261314937.jpg
039.jpg,2024-05-16,W. E. B. Du Bois,John Brown,Modern Library,2001,9780679783534,0679783539,verified,17958295748770142.jpg
040.jpg,2024-04-11,Domenico Losurdo,Stalin: History and Critique of a Black Legend,,,,,pending,18005823002432798.jpg
041.jpg,2024-04-01,Howard Fast,Citizen Tom Paine,"Duell, Sloan and Pearce",,,,pre-isbn,18045800197711556.jpg
042.jpg,2024-03-13,David M. Glantz and Jonathan M. House,When Titans Clashed: How the Red Army Stopped Hitler,University Press of Kansas,2015,9780700621217,0700621210,verified-paperback,18035512690837316.jpg
043.jpg,2024-03-03,Aaron J. Leonard and Conor A. Gallagher,Heavy Radicals: The FBI's Secret War on America's Maoists,Zer0 Books,2015,9781782795339,1782795332,edition-format-needs-check,17986218380470900.jpg
044.jpg,2024-02-25,Aaron J. Leonard,"The Folk Singers and the Bureau: The FBI, the Folk Artists and the Suppression of the Communist Party, USA 1939-1956",Repeater,2020,9781913462000,1913462005,verified-paperback,18035463415818452.jpg
045.jpg,2024-02-16,George Morris,Rebellion in the Unions: A Handbook for Rank and File Action,,,,,pending,18379889947074597.jpg
046.jpg,2024-02-10,Julius Evola,Notes on the Third Reich,Arktos,2013,9781907166860,1907166866,verified-paperback,17961498221598744.jpg
047.jpg,2024-01-31,Carl Schmitt,The Concept of the Political: Expanded Edition,University of Chicago Press,2007,9780226738925,0226738922,verified-paperback,18023966401810768.jpg
048.jpg,2024-01-28,Caleb T. Maupin,Who Are the Houthis? What Are They Fighting For?,,,,,pending,18096512755378352.jpg
049.jpg,2024-01-22,Carl Schmitt,Political Theology: Four Chapters on the Concept of Sovereignty,University of Chicago Press,,,,edition-needs-cover-check,
050.jpg,2024-01-06,Fadi Lama,Why the West Can't Win: From Bretton Woods to a Multipolar World,,,,,pending,
051.jpg,2023-12-09,Michael Hudson,The Collapse of Antiquity: Greece and Rome as Civilization's Oligarchic Turning Point,,,,,pending,
052.jpg,2023-12-04,Boris Groys,The Communist Postscript,,,,,pending,
053.jpg,2023-11-10,Richard O. Boyer and Herbert M. Morais,Labor's Untold Story,"United Electrical, Radio & Machine Workers of America",1975,9780916180010,0916180018,verified-edition,
054.jpg,2023-11-04,Johann Chapoutot,Free to Obey: How the Nazis Invented Modern Management,,,,,pending,
055.jpg,2023-10-30,Caleb Maupin,Letter to Bob Avakian,,,,,pending,
056.jpg,2023-10-16,Jack Weatherford,Genghis Khan and the Making of the Modern World,,,,,edition-needs-cover-check,
057.jpg,2023-09-28,Alexander Dugin,Templars of the Proletariat,,,,,pending,
058.jpg,2023-09-15,Charles Dickens,American Notes,Penguin Classics,,,,edition-needs-cover-check,
059.jpg,2023-09-06,Celia Lewis Zitron,The New York City Teachers Union 1916-1964,Humanities Press,1968,,,pre-isbn,
060.jpg,2023-08-22,Nikolai Chernyshevsky,What Is to Be Done?,,,,,edition-needs-cover-check,
061.jpg,2023-08-19,Arthur S. Trace Jr.,What Ivan Knows That Johnny Doesn't,,,,,pending,
062.jpg,2023-08-06,Ilf and Petrov,The Twelve Chairs,,,,,edition-needs-cover-check,
063.jpg,2023-07-24,Ilf and Petrov,Little Golden America: Two Famous Soviet Humorists Survey the United States,,,,,edition-needs-cover-check,
064.jpg,2023-07-14,Ilf and Petrov,The Golden Calf,,,,,edition-needs-cover-check,
065.jpg,2023-07-05,Andrei Martyanov,The (Real) Revolution in Military Affairs,,,,,pending,
066.jpg,2023-06-23,Guy Mettan,Creating Russophobia: From the Great Religious Schism to Anti-Putin Hysteria,Clarity Press,2017,9780997896527,0997896523,verified-paperback,
067.jpg,2023-06-21,Homer Lea,The Valor of Ignorance,,,,,edition-needs-cover-check,
068.jpg,2023-06-11,Graham Lyons,The Russian Version of the Second World War,,,,,pending,
069.webp,2023-06-01,Caleb Maupin,Where Is America Going? Marxism MAGA and the Coming Revolution,,,,,pending,
070.webp,2023-05-29,Logo Daedalus,"Selfie, Suicide or: Casey Tumbles's Blue Shadow",,,,,pending,
071.webp,2023-05-10,Xi Jinping,The Governance of China I,Foreign Languages Press,,,,edition-needs-cover-check,
072.webp,2023-05-04,Mark Bowden,Life Sentence: The Brief and Tragic Career of Baltimore's Deadliest Gang Leader,,,,,pending,
