image,date_read,author,title,publisher,edition_year,isbn13,isbn10,isbn_status,source_image
230.jpg,2020-05-02,Eduardo Galeano,Open Veins of Latin America,Monthly Review Press,1997,9780853459910,0853459916,verified-paperback,17844056480138057.jpg
231.jpg,2020-04-27,Ernst Bloch,Avicenna and the Aristotelian Left,Columbia University Press,2018,9780231175357,0231175353,verified-paperback,17845799517107690.jpg
232.jpg,2020-04-16,Iain Borden,Skateboarding and the City: A Complete History,Bloomsbury Visual Arts,2019,9781472583451,1472583450,verified-flexiback,17855273572917314.jpg
233.jpg,2020-04-13,Saint Augustine,On Lying,,,,,,17881395103562249.jpg
234.jpg,2020-04-09,John Joseph,Meat Is for Pussies,Harper Wave,2017,9780062692603,0062692607,verified-paperback,17881882630552628.jpg
235.jpg,2020-03-31,Daniel Susskind,A World Without Work: Technology Automation and How We Should Respond,Metropolitan Books,2020,9781250173515,1250173515,verified-hardcover,17951298946323905.jpg
236.jpg,2020-03-01,Ernst Bloch,Atheism in Christianity,Verso,2009,9781844673940,1844673944,verified-paperback,17863840822683412.jpg
237.jpg,2020-01-27,George Steiner,After Babel: Aspects of Language and Translation,Oxford University Press,1998,9780192880932,0192880934,verified-third-edition-paperback,17869006636579030.jpg
238.jpg,2020-01-24,Raphaël Zarka,On a Day with No Waves: A Chronicle of Skateboarding 1779-2009,Éditions B42,2011,9782917855195,2917855193,verified-paperback,17913639376391275.jpg
239.jpg,2020-01-14,Rodney Mullen,The Mutt: How to Skateboard and Not Kill Yourself,HarperEntertainment,2004,9780060556181,0060556188,verified-hardcover,17876627440523164.jpg
240.jpg,2020-01-13,Michio Kaku,The Future of Humanity: Our Destiny in the Universe,Vintage,2019,9780525434542,0525434542,verified-paperback,17895138319440350.jpg
241.jpg,2019-12-27,Craig B. Snyder,A Secret History of the Ollie Vol. 1: The 1970s,,,,,,17909708545387783.jpg
242.jpg,2019-12-26,Robert A. Hall Jr.,The Italian Questione della Lingua: An Interpretive Essay,,,,,pre-isbn,18019173961250439.jpg
243.jpg,2019-12-18,Steven Strogatz,Infinite Powers: How Calculus Reveals the Secrets of the Universe,Houghton Mifflin Harcourt,2019,9781328879981,1328879984,verified-hardcover,17923034335358094.jpg
244.jpg,2019-12-14,Deborah Tannen,You Just Don't Understand: Women and Men in Conversation,Ballantine Books,1991,9780345372055,0345372050,verified-paperback,17869056574554330.jpg
245.jpg,2019-11-15,Michael Hudson,"...and forgive them their debts: Lending, Foreclosure and Redemption from Bronze Age Finance to the Jubilee Year",ISLET-Verlag,2018,9783981826036,3981826035,verified-edition,17848230895735564.jpg
246.jpg,2019-11-15,Michael Young,"The Rise of the Meritocracy, 1870-2033: An Essay on Education and Equality",Penguin Books,1961,9780140204858,0140204857,verified-pelican-paperback,18041424058210328.jpg
247.jpg,2019-11-03,Lewis Mumford,Herman Melville: A Study of His Life and Vision,,,,,,17852012104636467.jpg
248.jpg,2019-10-26,Richard Waswo,Language and Meaning in the Renaissance,Princeton University Press,1987,,0691066965,verified-edition,18087633514112631.jpg
249.jpg,2019-10-15,E. L. Voynich,The Gadfly,,,,,,18040422469205499.jpg
250.jpg,2019-08-08,Shi Nai'an,Outlaws of the Marsh,Foreign Languages Press,,,,,edition-needs-volume-check,18071614408128864.jpg
251.jpg,2019-08-02,Bernard Stiegler,The Neganthropocene,Open Humanities Press,2018,9781785420481,1785420488,verified-paperback,17854130413501389.jpg
252.jpg,2019-07-26,Jacques Derrida,Theory and Practice,University of Chicago Press,2019,9780226572345,0226572347,verified-hardcover,18084685879069087.jpg
253.jpg,2019-07-19,C. E. M. Joad,The Babbitt Warren,,,,,,17877647869398056.jpg
254.jpg,2019-07-13,,,,,,,non-book-image,17849420002496597.jpg
255.jpg,2019-07-04,,,,,,,non-book-image,17895403756353186.jpg
256.jpg,2019-06-02,François Rabelais,Gargantua and Pantagruel,Penguin Classics,2006,9780140445503,0140445501,verified-paperback,18054764881103100.jpg
257.jpg,2019-02-17,Warren Montag,"Bodies, Masses, Power: Spinoza and His Contemporaries",Verso,1999,9781859847015,1859847013,verified-hardcover,18026448982076901.jpg
258.jpg,2019-01-10,V. I. Lenin,What Is to Be Done? Burning Questions of Our Movement,Penguin Classics,1988,9780140444995,0140444998,verified-paperback,18017559163069657.jpg
259.jpg,2018-12-29,Herman Melville,The Confidence-Man: His Masquerade,,,,,,17942607169237311.jpg
260.jpg,2018-12-21,Robin Wilson,Lewis Carroll in Numberland: His Fantastical Mathematical Logical Life,Allen Lane,2008,9780713997576,0713997575,verified-hardcover,17950282891213861.jpg
261.jpg,2018-12-17,Herman Melville,"Pierre, or, The Ambiguities",,,,,,18011251012000461.jpg
262.jpg,2018-11-02,Ibn Khaldun,The Muqaddimah: An Introduction to History,Princeton University Press,2005,9780691120546,0691120544,verified-princeton-classics-paperback,17917691269245521.jpg
263.jpg,2018-09-23,Charles Dickens,David Copperfield,,,,,,17953046671147783.jpg
264.jpg,2018-07-06,,,,,,,non-book-illustration,17957941672026998.jpg
265.jpg,2018-05-13,John of Salisbury,The Metalogicon of John of Salisbury: A Twelfth-Century Defense of the Verbal and Logical Arts of the Trivium,,,,,,17883696145219292.jpg
266.jpg,2018-05-12,Jasper Hopkins,Nicholas of Cusa on Learned Ignorance: A Translation and an Appraisal of De Docta Ignorantia,,,,,,17931549988117438.jpg
