image,date_read,author,title,publisher,edition_year,isbn13,isbn10,isbn_status,source_image
105.webp,2022-07-16,Alexander Dugin,The Great Awakening vs the Great Reset,Arktos Media,2021,9781914208478,1914208471,verified-paperback,17951168584879391.webp
106.webp,2022-07-11,Alexander Dugin,Last War of the World-Island: The Geopolitics of Contemporary Russia,Arktos,2015,9781910524404,1910524409,verified-paperback,17942967917019441.webp
107.webp,2022-07-02,Benjamin J. Davis Jr.,Communist Councilman from Harlem: Autobiographical Notes Written in a Federal Penitentiary,,,,,pending,17929919954351590.webp
108.webp,2022-06-27,Gerrard Winstanley,"The Law of Freedom in a Platform, or True Magistracy Restored",,,,,edition-needs-cover-check,17983585876494110.webp
109.webp,2022-06-02,William Z. Foster,Outline Political History of the Americas,International Publishers,,,,pre-isbn,17958917914759686.webp
110.webp,2022-05-27,Adam Kotsko,Neoliberalism's Demons: On the Political Theology of Late Capital,Stanford University Press,2018,9781503607125,1503607127,verified-paperback,17902848167605999.webp
111.webp,2022-05-19,John Potash,"The FBI War on Tupac Shakur and Black Leaders: U.S. Intelligence's Murderous Targeting of Tupac, MLK, Malcolm, Panthers, Hendrix, Marley, Rappers & Linked Ethnic Leftists",,,,,pending,17951400529754168.webp
112.webp,2022-05-12,Kris Hollington,"Wolves, Jackals, and Foxes: The Assassins Who Changed History",,,,,edition-needs-cover-check,17944462012978834.webp
113.webp,2022-04-13,W. E. B. Du Bois,Black Reconstruction in America,,,,,edition-needs-cover-check,17912899487446326.webp
114.webp,2022-04-02,Civil Rights Congress,We Charge Genocide: The Crime of Government Against the Negro People,International Publishers,1970,9780717803118,0717803112,verified-paperback,17977286197508854.webp
115.webp,2022-03-29,Friedrich Engels,The Peasant War in Germany,International Publishers,,,,pre-isbn,17913700439436900.webp
116.webp,2022-03-14,Ludo Martens,Another View of Stalin: A Profile of the Soviet Leader,,,,,edition-needs-cover-check,17937208354968937.webp
117.webp,2022-02-28,Kim Phillips-Fein,Invisible Hands: The Businessmen's Crusade Against the New Deal,W. W. Norton & Company,2010,9780393337662,0393337669,verified-paperback,17912063534380166.webp
118.webp,2022-02-20,Adolph Reed Jr.,Class Notes: Posing as Politics and Other Thoughts on the American Scene,The New Press,2001,9781565846753,1565846753,verified-paperback,17960795830537867.webp
119.webp,2022-02-10,Nancy MacLean,Democracy in Chains: The Deep History of the Radical Right's Stealth Plan for America,Penguin Books,2018,9781101980972,1101980974,verified-paperback,17884756382529386.webp
120.webp,2022-02-09,Caleb Maupin,The Ideological Foundations of the City-Building Tendency,,,,,pending,17929842698019714.webp
